,तावद्द्वयस,a,ap----a--a,,,,/t̪ɑː.ˈʋəd̪.d̪ʋə.jə.sə/,तावद्-द्वयस,0
381275,,उद्विघुष्,v,v----a--1-,,,,/d̪.ʋi.gʰuʂ/,उद्-वि-घुष्,0
381276,,उद्विग्न,a,ap----a--a,,,,/d̪.ˈʋig.nə/,उद्-विग्न,0
381277,,उद्विग्नचेतस्,a,ap----a-sa,,,,/d̪.ˈʋig.nə.t͡ɕeː.t̪əs/,उद्-विग्न-चेतस्,0
381278,,उद्विग्नचित्त,a,ap----a--a,,,,/d̪.ˈʋig.nə.ˈt͡ɕit̪.t̪ə/,उद्-विग्न-चित्त,0
381279,,उद्विग्नदृश्,a,ap----a--c,,,,/d̪.ˈʋig.nə.d̪ɹ̩ɕ/,उद्-विग्न-दृश्,0
381280,,उद्विग्नदृश्,n,n-----f--c,,,,/d̪.ˈʋig.nə.d̪ɹ̩ɕ/,उद्-विग्न-दृश्,0
381281,,उद्विग्नहृदय,a,ap----a--a,,,,/d̪.ˈʋig.nə.ɦɹ̩.d̪ə.jə/,उद्-विग्न-हृदय,0
381282,,उद्विग्नलोचन,n,n-----n--a,,,,/d̪.ˈʋig.nə.loː.t͡ɕə.nə/,उद्-विग्न-लोचन,0
381283,,उद्विग्नलोचन,a,ap----a--a,,,,/d̪.ˈʋig.nə.loː.t͡ɕə.nə/,उद्-विग्न-लोचन,0
381284,,उद्विग्नमनस्,a,ap----a-sa,,,,/d̪.ˈʋig.nə.mə.nəs/,उद्-विग्न-मनस्,0
381285,,उद्विज्,v,v----d--6- v----a--1- v----a--3- v----d--3-,,,,/d̪.ʋid͡ʑ/,उद्-विज्,0
381286,57001,उद्विकासिन्,a,ap----a--n,,,,/d̪.ʋi.kɑː.sin/,उद्-विकासिन्,0
381287,,उद्विसृज्,v,v----a--6- v----d--6-,,,,/d̪.ʋi.sɹ̩d͡ʑ/,उद्-वि-सृज्,0
381288,57022,उद्विवर्हण,n,n-----n--a,,,,/d̪.ʋi.ˈʋəɹ.ɦə.ɳə/,उद्-विवर्हण,0
381289,,उद्वोढुकाम,a,ap----a--a,,,,/d̪.ʋoː.ɖʰu.kɑː.mə/,उद्वोढु-काम,0
381290,56988,उद्वोढृ,n,n-----m--r,,,,/d̪.ʋoː.ɖʰɹ̩/,उद्-वोढृ,0
381291,,उद्व्रज्,v,v----a--1- v----a--0-,,,,/d̪.ʋɹəd͡ʑ/,उद्-व्रज्,0
381292,,उद्व्यध्,v,v----a--4- v----d--4-,,,,/d̪.ʋjəd̪ʰ/,उद्-व्यध्,0
381293,,उद्व्युदस्,v,v----a--4- v----d--4-,,,,/d̪.ʋju.d̪əs/,उद्-व्य्-उद्-अस्,0
381294,,उद्व्यूढ,a,ap----a--a,,,,/d̪.ʋjuː.ɖʰə/,उद्-व्यूढ,0
381295,160286,उद्वा,v,v----a--2-,,,,/d̪.ʋɑː/,उद्-वा,0
381296,56992,उद्वाचन,a,ap----a--a,,,,/d̪.ʋɑː.t͡ɕə.nə/,उद्-वा॔चन,0
381297,56950,उद्वादन,n,n-----n--a,,,,/d̪.ʋɑː.d̪ə.nə/,उद्-वादन,0
381298,56976,उद्वाह,n,n-----m--a,,,,/d̪.ʋɑː.ɦə/,उद्-वाह,0
381299,,उद्वाहकर्मन्,n,n-----n--n,,,,/d̪.ʋɑː.ɦə.ˈkəɹ.mən/,उद्-वाह-कर्मन्,0
381300,,उद्वाहमङ्गल,n,n-----n--a,,,,/d̪.ʋɑː.ɦə.məŋ.gə.lə/,उद्-वाह-मङ्गल,0
381302,56980,उद्वाहन,a,ap----a--a,,ap----f--ī=>ी,,/d̪.ʋɑː.ɦə.nə/,उद्-वाहन,0
381304,56981,उद्वाहन,n,n-----n--a,,,,/d̪.ʋɑː.ɦə.nə/,उद्-वाहन,0
381306,56982,उद्वाहनी,n,n-----f--ī,,,,/d̪.ʋɑː.ɦə.niː/,उद्-वाहनी,0
381307,56979,उद्वाहर्क्ष,n,n-----n--a,,,,/d̪.ʋɑː.ˈɦəɹk.ʂə/,उद्वाहर्क्ष,0
381308,56978,उद्वाहतत्त्व,n,n-----n--a,,,,/d̪.ʋɑː.ɦə.ˈt̪ət̪.t̪ʋə/,उद्-वाह-तत्त्व,0
381309,56983,उद्वाहिक,a,ap----a--a,,,,/d̪.ʋɑː.ɦi.kə/,उद्वाहिक,0
381310,56985,उद्वाहिन्,a,ap----a--n,,,,/d̪.ʋɑː.ɦin/,उद्वाहिन्,0
381311,56986,उद्वाहिनी,n,n-----f--ī,,,,/d̪.ʋɑː.ɦi.niː/,उद्वाहिनी,0
381312,56984,उद्वाहित,a,ap----a--a,,,,/d̪.ʋɑː.ɦi.t̪ə/,उद्-वाहित,0
381313,,उद्वालवत्,n,n-----m--c,,,,/d̪.ʋɑː.lə.ʋət̪/,उद्वा॔ल-वत्,0
381314,56960,उद्वामिन्,a,ap----a--n,,,,/d̪.ʋɑː.min/,उद्-वामिन्,0
381315,56994,उद्वान,n,n-----n--a,,,,/d̪.ʋɑː.nə/,उद्-वान,0
381316,56993,उद्वान,a,ap----a--a,,,,/d̪.ʋɑː.nə/,उद्-वान,0
381319,56958,उद्वान्त,n,n-----m--a,,,,/d̪.ʋɑːn.t̪ə/,उद्-वान्त,0
381320,56957,उद्वान्त,a,ap----a--a,,,,/d̪.ʋɑːn.t̪ə/,उद्-वान्त,0
381321,56959,उद्वान्ति,n,n-----f--i,,,,/d̪.ʋɑːn.t̪i/,उद्-वान्ति,0
381322,56953,उद्वाप,n,n-----m--a,,,,/d̪.ʋɑː.pə/,उद्-वाप,0
381323,56954,उद्वापन,n,n-----n--a,,,,/d̪.ʋɑː.pə.nə/,उद्-वापन,0
381324,56995,उद्वार,a,ap----a--a,,,,/d̪.ʋɑː.ɹə/,उ॔द्-वार,0
381325,56999,उद्वास,a,ap----a--a,,ap----f--ā=>ा,,/d̪.ʋɑː.sə/,उद्-वास,0
381326,56963,उद्वास,n,n-----m--a,,,,/d̪.ʋɑː.sə/,उद्-वास,0
381327,56965,उद्वासन,n,n-----n--a,,,,/d̪.ʋɑː.sə.nə/,उद्-वासन,0
381328,,उद्वासनीय,a,ap----a--a,,,,/d̪.ʋɑː.sə.niː.jə/,उद्-वासनीय,0
381329,57000,उद्वासस्,a,ap----a-sa,,,,/d̪.ʋɑː.səs/,उद्-वासस्,0
381330,,उद्वासवत्,a,ap----a--c,,,,/d̪.ʋɑː.sə.ʋət̪/,उद्-वास-वत्,0
381331,,उद्वासिन्,a,ap----a--n,,,,/d̪.ʋɑː.sin/,उद्वासिन्,0
381332,,उद्वास्य,a,ap----a--a,,,,/d̪.ʋɑːs.jə/,उद्-वास्य,0
381333,56967,उद्वासीकारिन्,a,ap----a--n,,,,/d̪.ʋɑː.siː.kɑː.ɹin/,उद्वासी-कारिन्,0
381334,160287,उद्वाश्,v,v----d--4-,,,,/d̪.ʋɑːɕ/,उद्-वाश्,0
381335,56997,उद्वाष्प,a,ap----a--a,,,,/d̪.ʋɑːʂ.pə/,उद्-वाष्प,0
381336,56998,उद्वाष्पत्व,n,n-----n--a,,,,/d̪.ʋɑːʂ.ˈpət̪.ʋə/,उद्-वाष्प-त्व,0
381337,,उद्वीज्,v,v----a--1- v----d--1- v----a--0-,,,,/d̪.ʋiːd͡ʑ/,उद्-वीज्,0
381338,,उद्वीक्ष्,v,v----a---- v----d----,,,,/d̪.ʋiːkʂ/,उद्-वीक्ष्,0
381339,57023,उद्वीक्षण,n,n-----n--a,,,,/d̪.ʋiːk.ʂə.ɳə/,उद्-वीक्षण,0
381340,57024,उद्वीक्षित,a,ap----a--a,,,,/d̪.ʋiːk.ʂi.t̪ə/,उद्-वीक्षित,0
381341,,उद्वीत,a,ap----a--a,,,,/d̪.ʋiː.t̪ə/,उ॔द्-वीत,0
381342,,उद्वृ,v,v----a--5- v----a--9- v----d--9-,,,,/d̪.ʋɹ̩/,उद्-वृ,0
381344,57039,उद्वृद्ध,a,ap----a--a,,,,/d̪.ˈʋɹ̩d̪.d̪ʰə/,उद्-वृद्ध,0
381345,,उद्वृध्,v,v----d--1- v----a--1- v----a--0-,,,,/d̪.ʋɹ̩d̪ʰ/,उद्-वृध्,0
381346,,उद्वृह्,v,v----a--0-,,,,/d̪.ʋɹ̩ɦ/,उद्-वृह्,0
381347,,उद्वृज्,v,v----a--1- v----a--7- v----d--2-,,,,/d̪.ʋɹ̩d͡ʑ/,उद्-वृज्,0
381348,160297,उद्वृत्,v,v----d--1-,,,,/d̪.ʋɹ̩t̪/,उद्-वृत्,0
381349,57034,उद्वृत्त,a,ap----a--a,,,,/d̪.ˈʋɹ̩t̪.t̪ə/,उद्-वृत्त,0
381350,57035,उद्वृत्त,n,n-----m--a,,,,/d̪.ˈʋɹ̩t̪.t̪ə/,उद्-वृत्त,0
381351,57036,उद्वृत्त,n,n-----n--a,,,,/d̪.ˈʋɹ̩t̪.t̪ə/,उद्-वृत्त,0
381352,,उद्वृत्य,a,ap----a--a,,,,/d̪.ˈʋɹ̩t̪.jə/,उद्-वृत्य,0
381353,57041,उद्वृढ,a,ap----a--a,,,,/d̪.ʋɹ̩.ɖʰə/,उद्-वृढ,0
381354,,उद्वृष्,v,v----a--1- v----d--1-,,,,/d̪.ʋɹ̩ʂ/,उद्-वृष्,0
381355,57040,उद्वृषभयज्ञ,n,n-----m--a,,,,/d̪.ʋɹ̩.ʂə.bʱə.ˈjəd͡ʑ.ɲə/,उद्-वृषभ-यज्ञ,0
381356,,उद्य,a,ap----a--a,,,,/d̪.jə/,उद्य,0
381357,56883,उद्यद्गिरि,n,n-----m--i,,,,/d̪.ˈjəd̪.gi.ɹi/,उद्यद्-गिरि,0
381358,,उद्यम्,v,v----a--1- v----d--1-,,,,/d̪.jəm/,उद्-यम्,0
381359,56894,उद्यम,n,n-----m--a,,,,/d̪.jə.mə/,उद्-यम,0
381360,56895,उद्यमभङ्ग,n,n-----m--a,,,,/d̪.jə.mə.bʱəŋ.gə/,उद्-यम-भङ्ग,0
381361,,उद्यमभृत्,a,ap----a--c,,,,/d̪.jə.mə.bʱɹ̩t̪/,उद्-यम-भृत्,0
381362,56897,उद्यमन,n,n-----n--a,,,,/d̪.jə.mə.nə/,उद्-यमन,0
381363,56899,उद्यमिन्,a,ap----a--n,,,,/d̪.jə.min/,उद्यमिन्,0
381364,,उद्यमित,a,ap----a--a,,,,/d̪.jə.mi.t̪ə/,उद्-यमित,0
381365,,उद्यम्य,a,ap----a--a,,,,/d̪.jəm.jə/,उद्-यम्य,0
381366,56900,उद्यमीयस्,a,ap----a-sa,,,,/d̪.jə.miː.jəs/,उ॔द्यमीयस्,0
381367,56893,उद्यन्तृ,a,ap----a--r,,,,/d̪.jən.t̪ɹ̩/,उद्-यन्तृ,0
381368,,उद्यत्,n,n-----m--c,,,,/d̪.jət̪/,उद्-यत्,0
381369,,उद्यत्,a,ap----a--c,,,,/d̪.jət̪/,उद्-यत्,0
381370,56885,उद्यत,n,n-----m--a,,,,/d̪.jə.t̪ə/,उ॔द्-यत,0
458674,,हवल,-,,,,,/ɦə.ʋə.lə/,हवल,0
381371,56884,उद्यत,a,ap----a--a,,,,/d̪.jə.t̪ə/,उ॔द्-यत,0
381373,,उद्यतदण्ड,a,ap----a--a,,,,/d̪.jə.t̪ə.ˈd̪əɳ.ɖə/,उद्-यत-दण्ड,0
381374,,उद्यतगद,a,ap----a--a,,,,/d̪.jə.t̪ə.gə.d̪ə/,उ॔द्-यत-गद,0
381375,,उद्यतकार्मुक,a,ap----a--a,,,,/d̪.jə.t̪ə.kɑːɹ.mu.kə/,उ॔द्-यत-कार्मुक,0
381376,56889,उद्यतस्रुच्,a,ap----a--c,,,,/d̪.jə.ˈt̪əs.ɹut͡ɕ/,उ॔द्-यत-स्रुच्,0
381377,,उद्यतशूल,a,ap----a--a,,,,/d̪.jə.t̪ə.ɕuː.lə/,उ॔द्-यत-शूल,0
381378,56892,उद्यति,n,n-----f--i,,,,/d̪.jə.t̪i/,उ॔द्-यति,0
381379,56882,उद्यत्पर्वत,n,n-----m--a,,,,/d̪.ˈjət̪.ˈpəɹ.ʋə.t̪ə/,उद्-यत्-पर्वत,0
381380,,उद्यतास्त्र,a,ap----a--a,,,,/d̪.jə.t̪ɑːs.t̪ɹə/,उद्यतास्त्र,0
381381,,उद्यतायुध,a,ap----a--a,,,,/d̪.jə.t̪ɑː.ju.d̪ʰə/,उद्यतायुध,0
381382,56881,उद्यती,n,n-----f--ī,,,,/d̪.jə.t̪iː/,उद्-यती,0
381383,56917,उद्योग,n,n-----m--a,,,,/d̪.joː.gə/,उद्-योग,0
381384,56918,उद्योगपर्वन्,n,n-----n--n,,,,/d̪.joː.gə.ˈpəɹ.ʋən/,उद्-योग-पर्वन्,0
381385,56919,उद्योगसमर्थ,a,ap----a--a,,,,/d̪.joː.gə.sə.ˈməɹ.t̪ʰə/,उद्-योग-समर्थ,0
381386,56920,उद्योगिन्,a,ap----a--n,,,,/d̪.joː.gin/,उद्योगिन्,0
381387,56921,उद्योजित,a,ap----a--a,,,,/d̪.joː.d͡ʑi.t̪ə/,उद्-योजित,0
381388,,उद्यु,v,v----a--2- v----d--2- v----a--6- v----a--9-,,,,/d̪.ju/,उद्-यु,0
381389,,उद्युध्,v,v----d--4- v----a--4- v----a--1-,,,,/d̪.jud̪ʰ/,उद्-युध्,0
381390,56915,उद्युग,n,n-----n--a,,,,/d̪.ju.gə/,उद्-युग॔,0
381391,56916,उद्युज्,n,n-----f--c,,,,/d̪.jud͡ʑ/,उद्-युज्,0
381392,160266,उद्युज्,v,v----a--7- v----d--7-,,,,/d̪.jud͡ʑ/,उद्-युज्,0
381393,,उद्युक्त,a,ap----a--a,,,,/d̪.ˈjuk.t̪ə/,उद्-युक्त,0
381394,56913,उद्युत,a,ap----a--a,,,,/d̪.ju.t̪ə/,उ॔द्-युत,0
381395,160265,उद्या,v,v----a--2-,,,,/d̪.jɑː/,उद्-या,0
381396,56902,उद्याम,n,n-----m--a,,,,/d̪.jɑː.mə/,उद्-याम॔,0
381397,56903,उद्यान,n,n-----n--a,,,,/d̪.jɑː.nə/,उद्-या॔न,0
381398,56907,उद्यानक,n,n-----n--a,,,,/d̪.jɑː.nə.kə/,उद्यानक,0
381399,56905,उद्यानमाला,n,n-----f--ā,,,,/d̪.jɑː.nə.mɑː.lɑː/,उद्-या॔न-माला,0
381400,56904,उद्यानपाल,n,n-----m--a,,,,/d̪.jɑː.nə.pɑː.lə/,उद्-या॔न-पाल,0
381401,,उद्यानपालक,n,n-----m--a,,,,/d̪.jɑː.nə.pɑː.lə.kə/,उद्-या॔न-पालक,0
381402,,उद्यानपालिका,n,n-----f--ā,,,,/d̪.jɑː.nə.pɑː.li.kɑː/,उद्-या॔न-पालिका,0
381403,,उद्यानपाली,n,n-----f--ī,,,,/d̪.jɑː.nə.pɑː.liː/,उद्-या॔न-पाली,0
381404,56906,उद्यानरक्षक,n,n-----m--a,,,,/d̪.jɑː.nə.ˈɹək.ʂə.kə/,उद्-या॔न-रक्षक,0
381405,56908,उद्यापन,n,n-----n--a,,,,/d̪.jɑː.pə.nə/,उद्-यापन,0
381406,56909,उद्यापनिका,n,n-----f--ā,,,,/d̪.jɑː.pə.ni.kɑː/,उद्-यापनिका,0
381407,56910,उद्यापित,a,ap----a--a,,,,/d̪.jɑː.pi.t̪ə/,उद्-यापित,0
381408,56911,उद्यास,n,n-----m--a,,,,/d̪.jɑː.sə/,उद्-यास॔,0
381409,56912,उद्याव,n,n-----m--a,,,,/d̪.jɑː.ʋə/,उद्-याव,0
381410,,उदाचक्ष्,v,v----d--2- v----a--2-,,,,/.d̪ɑː.t͡ɕəkʂ/,उद्-आ-चक्ष्,0
381411,,उदाचम्,r,rp--------,,,,/.d̪ɑː.t͡ɕəm/,उद्-आ॔चम्,0
381412,160177,उदाचर्,v,v----d--1- v----a--1-,,,,/.d̪ɑː.t͡ɕəɹ/,उद्-आ-चर्,0
381413,56427,उदाचार,n,n-----m--a,,,,/.d̪ɑː.t͡ɕɑː.ɹə/,उद्-आचार,0
381414,,उदाद्रु,v,v----a--1- v----d--1-,,,,/.d̪ɑːd̪.ɹu/,उद्-आ-द्रु,0
381415,56437,उदाद्यन्त,a,ap----a--a,,,,/.d̪ɑːd̪.jən.t̪ə/,उद्-आद्य्-अन्त,0
381416,,उदादा,v,v----a--4-,,,,/.d̪ɑː.d̪ɑː/,उद्-आ-दा,0
381417,,उदागा,v,v----a--3- v----d--3- v----a--2- v----d--2-,,,,/.d̪ɑː.gɑː/,उद्-आ-गा,0
381418,,उदाहन्,v,v----a--2- v----d--2- v----a--1-,,,,/.d̪ɑː.ɦən/,उद्-आ-हन्,0
381419,56485,उदाहरण,n,n-----n--a,,,,/.d̪ɑː.ɦə.ɹə.ɳə/,उद्-आहरण,0
381420,56486,उदाहरणचन्द्रिका,n,n-----f--ā,,,,/.d̪ɑː.ɦə.ɹə.ɳə.t͡ɕən.d̪ɹi.kɑː/,उद्-आहरण-चन्द्रिका,0
381421,56487,उदाहरणानुगम,n,n-----m--a,,,,/.d̪ɑː.ɦə.ɹə.ɳɑː.nu.gə.mə/,उदाहरणानुगम,0
381422,56488,उदाहरणीय,a,ap----a--a,,,,/.d̪ɑː.ɦə.ɹə.ɳiː.jə/,उद्-आहरणीय,0
381423,56489,उदाहरिन्,a,ap----a--n,,,,/.d̪ɑː.ɦə.ɹin/,उद्-आहरिन्,0
381424,56483,उदाहित,a,ap----a--a,,,,/.d̪ɑː.ɦi.t̪ə/,उद्-आ॔हित,0
381425,56484,उदाहिततर,a,ap----a--a,,,,/.d̪ɑː.ɦi.t̪ə.t̪ə.ɹə/,उद्-आ॔हित-तर,0
381426,56490,उदाहार,n,n-----m--a,,,,/.d̪ɑː.ɦɑː.ɹə/,उद्-आहार,0
381427,,उदाहार्य,a,ap----a--a,,,,/.d̪ɑː.ɦɑːɹ.jə/,उद्-आहार्य,0
381428,,उदाहृ,v,v----d--9-,,,,/.d̪ɑː.ɦɹ̩/,उद्-आ-हृ,0
381429,,उदाहृत,a,ap----a--a,,,,/.d̪ɑː.ɦɹ̩.t̪ə/,उद्-आहृत,0
381430,56493,उदाहृति,n,n-----f--i,,,,/.d̪ɑː.ɦɹ̩.t̪i/,उद्-आहृति,0
381431,56315,उदाज,n,n-----m--a,,,,/.d̪ɑː.d͡ʑə/,उद्-आज,0
381432,,उदाजन्,v,v----a--1- v----d--0- v----a--0- v----d--3- v----a--0- v----a--4- v----d--2- v----d--1-,,,,/.d̪ɑː.d͡ʑən/,उद्-आ-जन्,0
381433,,उदाख्या,v,v----a--2- v----d--2-,,,,/.d̪ɑːkʰ.jɑː/,उद्-आ-ख्या,0
381434,,उदाकृ,v,v----a--0-,,,,/.d̪ɑː.kɹ̩/,उद्-आ-कृ,0
381435,56442,उदामन्त्रण,n,n-----n--a,,,,/.d̪ɑː.mən.t̪ɹə.ɳə/,उद्-आ-मन्त्रण,0
381436,56360,उदान,n,n-----m--a,,,,/.d̪ɑː.nə/,उद्-आन,0
381437,,उदानभृत्,n,n-----f--c,,,,/.d̪ɑː.nə.bʱɹ̩t̪/,उदान॔-भृ॔त्,0
381439,,उदानी,v,v----a--0-,,,,/.d̪ɑː.niː/,उद्-आ-नी,0
381440,,उदाप्,v,v----a----,,,,/.d̪ɑːp/,उद्-आप्,0
381441,56438,उदापि,n,n-----m--i,,,,/.d̪ɑː.pi/,उद्-आपि,0
381442,,उदाप्लु,v,v----d--1- v----a--1-,,,,/.d̪ɑːp.lu/,उद्-आ-प्लु,0
381443,56441,उदाप्लुत,a,ap----a--a,,,,/.d̪ɑːp.lu.t̪ə/,उद्-आप्लुत,0
381444,56439,उदाप्याम्,r,rp--------,,,,/.d̪ɑːp.jɑːm/,उद्-आप्याम्,0
381450,56447,उदार,n,n-----m--a,,,,/.d̪ɑː.ɹə/,उद्-आर॔,0
381454,,उदार,n,n-----n--a,,,n-----f--ā=उदारआ n-----f--ī=उदारई,/.d̪ɑː.ɹə/,उद्-आर॔,0
381458,,उदारभाव,n,n-----m--a,,,,/.d̪ɑː.ɹə.bʱɑː.ʋə/,उद्-आर॔-भाव,0
381459,,उदारचरित,a,ap----a--a,,,,/.d̪ɑː.ɹə.t͡ɕə.ɹi.t̪ə/,उद्-आर॔-चरित,0
381460,56449,उदारचरित,n,n-----m--a,,,,/.d̪ɑː.ɹə.t͡ɕə.ɹi.t̪ə/,उद्-आर॔-चरित,0
381461,,उदारचेतस्,a,ap----a-sa,,,,/.d̪ɑː.ɹə.t͡ɕeː.t̪əs/,उद्-आर॔-चेतस्,0
381462,,उदारदर्शन,a,ap----a--a,,,,/.d̪ɑː.ɹə.d̪ə.ɹɕə.nə/,उद्-आर॔-दर्शन,0
381463,56454,उदारधिषण,n,n-----m--a,,,,/.d̪ɑː.ɹə.d̪ʰi.ʂə.ɳə/,उद्-आर॔-धिषण,0
381464,,उदारधी,a,ap----a--ī,,,,/.d̪ɑː.ɹə.d̪ʰiː/,उद्-आर॔-धी,0
381465,,उदारधी,n,n-----m--ī,,,,/.d̪ɑː.ɹə.d̪ʰiː/,उद्-आर॔-धी,0
458675,,हवन,-,,,,,/ɦə.ʋə.nə/,हवन,0
381466,56464,उदारक,n,n-----m--a,,,,/.d̪ɑː.ɹə.kə/,उदारक,0
381467,,उदारकीर्ति,a,ap----a--i,,,,/.d̪ɑː.ɹə.kiːɹ.t̪i/,उद्-आर॔-कीर्ति,0
381468,,उदारमति,a,ap----a--i,,,,/.d̪ɑː.ɹə.mə.t̪i/,उद्-आर॔-मति,0
381469,,उदारसत्त्व,a,ap----a--a,,,,/.d̪ɑː.ɹə.ˈsət̪.t̪ʋə/,उद्-आर॔-सत्त्व,0
381470,,उदारसत्त्वाभिजन,a,ap----a--a,,,,/.d̪ɑː.ɹə.ˈsət̪.t̪ʋɑː.bʱi.d͡ʑə.nə/,उद्-आर॔-सत्त्वाभिजन,0
381471,56465,उदारथि,a,ap----a--i,,,,/.d̪ɑː.ɹə.t̪ʰi/,उद्-आरथि,0
381472,56466,उदारथि,n,n-----m--i,,,,/.d̪ɑː.ɹə.t̪ʰi/,उद्-आरथि,0
381473,,उदारत्व,n,n-----n--a,,,,/.d̪ɑː.ˈɹət̪.ʋə/,उद्-आर॔-त्व,0
381474,,उदारता,n,n-----f--ā,,,,/.d̪ɑː.ɹə.t̪ɑː/,उद्-आर॔-ता,0
381475,,उदारविक्रम,a,ap----a--a,,,,/.d̪ɑː.ɹə.ˈʋik.ɹə.mə/,उद्-आर॔-विक्रम,0
381476,,उदारवीर्य,a,ap----a--a,,,,/.d̪ɑː.ɹə.ʋiːɹ.jə/,उद्-आर॔-वीर्य,0
381477,,उदारवृत्तार्थपद,a,ap----a--a,,,,/.d̪ɑː.ɹə.ˈʋɹ̩t̪.t̪ɑːɹ.t̪ʰə.pə.d̪ə/,उद्-आर॔-वृत्तार्थ-पद,0
381478,,उदारशोभ,a,ap----a--a,,,,/.d̪ɑː.ɹə.ɕoː.bʱə/,उद्-आर॔-शोभ,0
381479,160186,उदारुह्,v,v----a--1-,,,,/.d̪ɑː.ɹuɦ/,उद्-आ-रुह्,0
381480,56462,उदाराक्ष,n,n-----m--a,,,,/.d̪ɑː.ɹɑːk.ʂə/,उदाराक्ष,0
381481,56463,उदारार्थ,a,ap----a--a,,,,/.d̪ɑː.ɹɑːɹ.t̪ʰə/,उदारार्थ,0
381482,,उदास्,v,v----a---- v----d----,,,,/.d̪ɑːs/,उद्-आस्,0
381483,56473,उदास,n,n-----m--a,,,,/.d̪ɑː.sə/,उद्-आस,0
381485,56476,उदासिन्,n,n-----m--n,,,,/.d̪ɑː.sin/,उदासिन्,0
381487,56475,उदासिन्,a,ap----a--n,,,,/.d̪ɑː.sin/,उदासिन्,0
381488,56474,उदासितृ,a,ap----a--r,,,,/.d̪ɑː.si.t̪ɹ̩/,उद्-आसितृ,0
381491,56480,उदास्थित,a,ap----a--a,,,,/.d̪ɑːs.t̪ʰi.t̪ə/,उद्-आस्थित,0
381492,56481,उदास्थित,n,n-----m--a,,,,/.d̪ɑːs.t̪ʰi.t̪ə/,उद्-आस्थित,0
381493,,उदास्था,v,v----a--1- v----d--1-,,,,/.d̪ɑːs.t̪ʰɑː/,उद्-आ-स्था,0
381494,56482,उदास्यपुच्छ,a,ap----a--a,,,,/.d̪ɑːs.jə.ˈput͡ɕ.t͡ɕʰə/,उद्-आस्य-पुच्छ,0
381495,56478,उदासीन,n,n-----m--a,,,,/.d̪ɑː.siː.nə/,उद्-आसीन,0
381496,56477,उदासीन,a,ap----a--a,,,,/.d̪ɑː.siː.nə/,उद्-आसीन,0
381499,56479,उदासीनता,n,n-----f--ā,,,,/.d̪ɑː.siː.nə.t̪ɑː/,उद्-आसीन-ता,0
381500,,उदातन्,v,v----a--8- v----d--8-,,,,/.d̪ɑː.t̪ən/,उद्-आ-तन्,0
381501,56430,उदात्त,n,n-----n--a,,,,/.d̪ɑːt̪.t̪ə/,उद्-आत्त,0
381506,56428,उदात्त,a,ap----a--a,,,,/.d̪ɑːt̪.t̪ə/,उद्-आत्त,0
381507,56429,उदात्त,n,n-----m--a,,,,/.d̪ɑːt̪.t̪ə/,उद्-आत्त,0
381509,56433,उदात्तमय,a,ap----a--a,,,,/.d̪ɑːt̪.t̪ə.mə.jə/,उद्-आत्त-मय,0
381510,56434,उदात्तराघव,n,n-----n--a,,,,/.d̪ɑːt̪.t̪ə.ɹɑː.gʰə.ʋə/,उद्-आत्त-राघव,0
381511,,उदात्तत्व,n,n-----n--a,,,,/.d̪ɑːt̪.ˈt̪ət̪.ʋə/,उद्-आत्त-त्व,0
381512,56431,उदात्तता,n,n-----f--ā,,,,/.d̪ɑːt̪.t̪ə.t̪ɑː/,उद्-आत्त-ता,0
381513,56435,उदात्तवत्,a,ap----a--c,,,,/.d̪ɑːt̪.t̪ə.ʋət̪/,उद्-आत्त-वत्,0
381515,56436,उदात्तश्रुति,n,n-----f--i,,,,/ud̪ɑːt̪t̪əɕɹut̪i/,उद्-आत्त-श्रुति,0
381516,,उदात्तश्रुतिता,n,n-----f--ā,,,,/ud̪ɑːt̪t̪əɕɹut̪it̪ɑː/,उद्-आत्त-श्रुति-ता,0
381517,,उदात्तोक्ति,n,n-----f--i,,,,/.d̪ɑːt̪.t̪oːk.t̪i/,उदात्तोक्ति,0
381518,,उदावह्,v,v----a--1- v----d--1-,,,,/.d̪ɑː.ʋəɦ/,उद्-आ-वह्,0
381519,56468,उदावर्त,n,n-----m--a,,,,/.d̪ɑː.ˈʋəɹ.t̪ə/,उद्-आवर्त,0
381520,56470,उदावर्तक,a,ap----a--a,,,,/.d̪ɑː.ˈʋəɹ.t̪ə.kə/,उद्-आवर्तक,0
381521,56471,उदावर्तन,n,n-----n--a,,,,/.d̪ɑː.ˈʋəɹ.t̪ə.nə/,उद्-आवर्तन,0
381522,56472,उदावर्तिन्,a,ap----a--n,,,,/.d̪ɑː.ˈʋəɹ.t̪in/,उदावर्तिन्,0
381523,56469,उदावर्ता,n,n-----f--ā,,,,/.d̪ɑː.ˈʋəɹ.t̪ɑː/,उद्-आवर्ता,0
381524,,उदावस्,v,v----a--4-,,,,/.d̪ɑː.ʋəs/,उद्-आ-वस्,0
381525,56467,उदावसु,n,n-----m--u,,,,/.d̪ɑː.ʋə.su/,उदावसु,0
381526,,उदाव्रज्,v,v----a--1- v----a--0-,,,,/.d̪ɑːʋ.ɹəd͡ʑ/,उद्-आ-व्रज्,0
381527,,उदावृत्,v,v----d--1-,,,,/.d̪ɑː.ʋɹ̩t̪/,उद्-आ-वृत्,0
381528,56533,उदाय,n,n-----m--a,,,,/.d̪ɑː.jə/,उद्-आय॔,0
