7798,सुविनय,a,ap----a--a,,,,/su.ʋi.nə.jə/,सु-विनय,0
369387,121779,स्वादित्य,n,n-----n--a,,,,/s.ʋɑː.ˈd̪it̪.jə/,स्व्-आदित्य॔,0
369388,119626,स्वादिष्ठ,a,ap----a--a,,ap----f--ā=>ा,,/s.ʋɑː.ˈd̪iʂ.ʈʰə/,स्वा॔दिष्ठ,0
369389,120854,स्वाद्मन्,n,n-----m--n,,,,/s.ʋɑːd̪.mən/,स्वाद्म॔न्,0
369390,120854,स्वाद्मन्,n,n-----n--n,,,,/s.ʋɑːd̪.mən/,स्वा॔द्म॔न्,0
369391,120833,स्वादु,a,ap----a--u,,ap----f--u=>ु ap----f--ī=>वी,,/s.ʋɑː.d̪u/,स्वादु॔,0
369394,120834,स्वादु,n,n-----m--u,,,,/s.ʋɑː.d̪u/,स्वादु॔,0
369395,120836,स्वादु,n,n-----n--u,,,,/s.ʋɑː.d̪u/,स्वादु॔,0
369398,119640,स्वादुधन्वन्,n,n-----m--n,,,,/s.ʋɑː.d̪u.d̪ʰən.ʋən/,स्वादु॔-धन्वन्,0
369399,120841,स्वादुगन्ध,n,n-----m--a,,,,/s.ʋɑː.d̪u.gən.d̪ʰə/,स्वादु॔-गन्ध,0
369400,120842,स्वादुगन्धा,n,n-----f--ā,,,,/s.ʋɑː.d̪u.gən.d̪ʰɑː/,स्वादु॔-गन्धा,0
369401,120838,स्वादुकन्द,n,n-----m--a,,,,/s.ʋɑː.d̪u.kən.d̪ə/,स्वादु॔-कन्द,0
369402,119630,स्वादुकन्दक,n,n-----m--a,,,,/s.ʋɑː.d̪u.kən.d̪ə.kə/,स्वादु॔-कन्दक,0
369403,120839,स्वादुकन्दा,n,n-----f--ā,,,,/s.ʋɑː.d̪u.kən.d̪ɑː/,स्वादु॔-कन्दा,0
369404,119631,स्वादुकर,n,n-----m--a,,,,/s.ʋɑː.d̪u.kə.ɹə/,स्वादु॔-कर,0
369405,119628,स्वादुकण्ट,n,n-----m--a,,,,/s.ʋɑː.d̪u.ˈkəɳ.ʈə/,स्वादु॔-कण्ट,0
369406,119629,स्वादुकण्टक,n,n-----m--a,,,,/s.ʋɑː.d̪u.ˈkəɳ.ʈə.kə/,स्वादु॔-कण्टक,0
369407,119634,स्वादुखण्ड,n,n-----m--a,,,,/s.ʋɑː.d̪u.ˈkʰəɳ.ɖə/,स्वादु॔-खण्ड,0
369408,119661,स्वादुका,n,n-----f--ā,,,,/s.ʋɑː.d̪u.kɑː/,स्वादुका,0
369409,,स्वादुकाम,a,ap----a--a,,,,/s.ʋɑː.d̪u.kɑː.mə/,स्वादु॔-काम,0
369410,,स्वादुकामता,n,n-----f--ā,,,,/s.ʋɑː.d̪u.kɑː.mə.t̪ɑː/,स्वादु॔-काम-ता,0
369411,119632,स्वादुकार,a,ap----a--a,,,,/s.ʋɑː.d̪u.kɑː.ɹə/,स्वादु॔-कार,0
369412,119633,स्वादुक्षद्मन्,a,ap----a--n,,,,/s.ʋɑː.ˈd̪uk.ˈʂəd̪.mən/,स्वादु॔-क्ष॔द्मन्,0
369413,119652,स्वादुलता,n,n-----f--ā,,,,/s.ʋɑː.d̪u.lə.t̪ɑː/,स्वादु॔-लता,0
369414,119653,स्वादुलुङ्गी,n,n-----f--ī,,,,/s.ʋɑː.d̪u.luŋ.giː/,स्वादु॔-लुङ्गी,0
369415,119644,स्वादुमज्जन्,n,n-----m--n,,,,/s.ʋɑː.d̪u.ˈməd͡ʑ.d͡ʑən/,स्वादु॔-मज्जन्,0
369416,119662,स्वादुमन्,n,n-----m--n,,,,/s.ʋɑː.d̪u.mən/,स्वादुम॔न्,0
369417,119646,स्वादुमुस्ता,n,n-----f--ā,,,,/s.ʋɑː.d̪u.ˈmus.t̪ɑː/,स्वादु॔-मुस्ता,0
369418,119645,स्वादुमांसी,n,n-----f--ī,,,,/s.ʋɑː.d̪u.mɑː̃.siː/,स्वादु॔-मांसी,0
369419,119647,स्वादुमूल,n,n-----n--a,,,,/s.ʋɑː.d̪u.muː.lə/,स्वादु॔-मूल,0
369420,119648,स्वादुमृदु,a,ap----a--u,,,,/s.ʋɑː.d̪u.mɹ̩.d̪u/,स्वादु॔-मृदु,0
369421,119641,स्वादुपर्णी,n,n-----f--ī,,,,/s.ʋɑː.d̪u.ˈpəɹ.ɳiː/,स्वादु॔-पर्णी,0
369422,120849,स्वादुफल,n,n-----n--a,,,,/s.ʋɑː.d̪u.pʰə.lə/,स्वादु॔-फल,0
369423,120850,स्वादुफला,n,n-----f--ā,,,,/s.ʋɑː.d̪u.pʰə.lɑː/,स्वादु॔-फला,0
369424,119643,स्वादुपिण्डा,n,n-----f--ā,,,,/s.ʋɑː.d̪u.ˈpiɳ.ɖɑː/,स्वादु॔-पिण्डा,0
369425,120847,स्वादुपुष्प,n,n-----m--a,,,,/s.ʋɑː.d̪u.ˈpuʂ.pə/,स्वादु॔-पुष्प,0
369426,120848,स्वादुपुष्पी,n,n-----f--ī,,,,/s.ʋɑː.d̪u.ˈpuʂ.piː/,स्वादु॔-पुष्पी,0
369427,,स्वादुपाक,a,ap----a--a,,,,/s.ʋɑː.d̪u.pɑː.kə/,स्वादु॔-पाक,0
369428,,स्वादुपाकत्व,n,n-----n--a,,,,/s.ʋɑː.d̪u.pɑː.ˈkət̪.ʋə/,स्वादु॔-पाक-त्व,0
369429,,स्वादुपाकिन्,a,ap----a--n,,,,/s.ʋɑː.d̪u.pɑː.kin/,स्वादु॔-पाकिन्,0
369430,120846,स्वादुपाका,n,n-----f--ā,,,,/s.ʋɑː.d̪u.pɑː.kɑː/,स्वादु॔-पाका,0
369431,,स्वादुरस,a,ap----a--a,,ap----f--ā=>ा,,/s.ʋɑː.d̪u.ɹə.sə/,स्वादु॔-रस,0
369435,120852,स्वादुरसा,n,n-----f--ā,,,,/s.ʋɑː.d̪u.ɹə.sɑː/,स्वादु॔-रसा,0
369437,119651,स्वादुराति,a,ap----a--i,,,,/s.ʋɑː.d̪u.ɹɑː.t̪i/,स्वादु॔-राति॔,0
369438,119658,स्वादुसम्मुद्,a,ap----a--c,,,,/s.ʋɑː.d̪u.səm.mud̪/,स्वादु॔-सम्मुद्,0
369439,119659,स्वादुस्वादु,a,ap----a--u,,,,/s.ʋɑː.ˈd̪us.ʋɑː.d̪u/,स्वादु॔-स्वादु,0
369440,119636,स्वादुतम,a,ap----a--a,,,,/s.ʋɑː.d̪u.t̪ə.mə/,स्वादु॔-तम,0
369441,119637,स्वादुतर,a,ap----a--a,,,,/s.ʋɑː.d̪u.t̪ə.ɹə/,स्वादु॔-तर,0
369442,,स्वादुतिक्तकषाय,n,n-----m--a,,,,/s.ʋɑː.d̪u.ˈt̪ik.t̪ə.kə.ʂɑː.jə/,स्वादु॔-तिक्तकषाय,0
369443,,स्वादुतिक्तकषाय,a,ap----a--a,,,,/s.ʋɑː.d̪u.ˈt̪ik.t̪ə.kə.ʂɑː.jə/,स्वादु॔-तिक्त-कषाय,0
369444,119639,स्वादुतुण्डिका,n,n-----f--ā,,,,/s.ʋɑː.d̪u.ˈt̪uɳ.ɖi.kɑː/,स्वादु॔-तुण्डिका,0
369445,,स्वादुता,n,n-----f--ā,,,,/s.ʋɑː.d̪u.t̪ɑː/,स्वादु॔-ता,0
369446,119655,स्वादुविवेकिन्,a,ap----a--n,,,,/s.ʋɑː.d̪u.ʋi.ʋeː.kin/,स्वादु॔-विवेकिन्,0
369447,119654,स्वादुवारि,n,n-----m--i,,,,/s.ʋɑː.d̪u.ʋɑː.ɹi/,स्वादु॔-वारि,0
369448,,स्वादुयोगिन्,a,ap----a--n,,,,/s.ʋɑː.d̪u.joː.gin/,स्वादु॔-योगिन्,0
369449,119649,स्वादुयुक्त,a,ap----a--a,,,,/s.ʋɑː.d̪u.ˈjuk.t̪ə/,स्वादु॔-युक्त,0
369450,119656,स्वादुशुद्ध,n,n-----n--a,,,,/s.ʋɑː.d̪u.ˈɕud̪.d̪ʰə/,स्वादु॔-शुद्ध,0
369451,119635,स्वादुंकारम्,r,rp--------,,,,/s.ʋɑː.d̪uŋ.kɑː.ɹəm/,स्वादु॔-ं-कारम्,0
369452,119657,स्वादुषंसद्,a,ap----a--c,,,,/s.ʋɑː.d̪u.ˈʂə̃.səd̪/,स्वादु॔-षंस॔द्,0
369453,119663,स्वादुष्किलीया,n,n-----f--ā,,,,/s.ʋɑː.ˈd̪uʂ.ki.liː.jɑː/,स्वादुष्किलीया,0
369454,120859,स्वाद्वम्ल,n,n-----m--a,,,,/s.ʋɑːd̪.ʋəm.lə/,स्वाद्व्-अम्ल,0
369455,,स्वाद्वम्लतिक्ततुबर,n,n-----m--a,,,,/s.ʋɑːd̪.ʋəm.lə.ˈt̪ik.t̪ə.t̪u.bə.ɹə/,स्वाद्व्-अम्ल-तिक्त-तुबर,0
369456,,स्वाद्वम्लतिक्ततुबर,a,ap----a--a,,,,/s.ʋɑːd̪.ʋəm.lə.ˈt̪ik.t̪ə.t̪u.bə.ɹə/,स्वाद्व्-अम्ल-तिक्त-तुबर,0
369457,,स्वाद्वन्न,a,ap----a--a,,,,/s.ʋɑːd̪.ʋən.nə/,स्वाद्व्-अन्न,0
369458,120857,स्वाद्वन्न,n,n-----n--a,,,,/s.ʋɑːd̪.ʋən.nə/,स्वाद्व्-अन्न,0
369459,120856,स्वाद्य,n,n-----m--a,,,,/s.ʋɑːd̪.jə/,स्वाद्य,0
369460,120855,स्वाद्य,a,ap----a--a,,,,/s.ʋɑːd̪.jə/,स्वाद्य,0
369461,,स्वादान,a,ap----a--a,,,,/s.ʋɑː.d̪ɑː.nə/,स्व्-आदान॔,0
369462,,स्वादान,n,n-----n--a,,,,/s.ʋɑː.d̪ɑː.nə/,स्वादान,0
369463,119627,स्वादीयस्,a,ap----a-sa,,,,/s.ʋɑː.d̪iː.jəs/,स्वा॔दीयस्,0
369464,,स्वादूद,n,n-----m--a,,,,/s.ʋɑː.d̪uː.d̪ə/,स्वादूद,0
369465,,स्वादूदक,a,ap----a--a,,,,/s.ʋɑː.d̪uː.d̪ə.kə/,स्वादूदक,0
369466,,स्वादूदकसमुद्र,n,n-----m--a,,,,/s.ʋɑː.d̪uː.d̪ə.kə.sə.ˈmud̪.ɹə/,स्वादूदक-समुद्र,0
369467,,स्वादूकृ,v,v----a--8-,,,,/s.ʋɑː.d̪uː.kɹ̩/,स्वादू-कृ,0
369468,120082,स्वागम,n,n-----m--a,,,,/s.ʋɑː.gə.mə/,स्वागम,0
369469,121770,स्वागत,n,n-----n--a,,,,/s.ʋɑː.gə.t̪ə/,स्व्-आगत,0
369472,121767,स्वागत,a,ap----a--a,,,,/s.ʋɑː.gə.t̪ə/,स्वागत,0
369473,121767,स्वागत,a,ap----a--a,,,,/s.ʋɑː.gə.t̪ə/,स्व्-आगत,0
369475,121768,स्वागत,n,n-----m--a,,,,/s.ʋɑː.gə.t̪ə/,स्व्-आगत,0
369476,,स्वागतप्रश्न,n,n-----m--a,,,,/sʋɑːgət̪əpɹəɕnə/,स्व्-आगत-प्रश्न,0
369477,120080,स्वागतवचन,n,n-----n--a,,,,/s.ʋɑː.gə.t̪ə.ʋə.t͡ɕə.nə/,स्व्-आगत-वचन,0
369478,120081,स्वागतिक,a,ap----a--a,,,,/s.ʋɑː.gə.t̪i.kə/,स्वागतिक,0
369479,121769,स्वागता,n,n-----f--ā,,,,/s.ʋɑː.gə.t̪ɑː/,स्व्-आगता,0
369480,,स्वागतीकृ,v,v----a--8-,,,,/s.ʋɑː.gə.t̪iː.kɹ̩/,स्वागती-कृ,0
369481,120083,स्वाग्रयण,a,ap----a--a,,,,/s.ʋɑːg.ɹə.jə.ɳə/,स्व्-आ॔ग्रयण,0
369482,119463,स्वाहत,a,ap----a--a,,,,/s.ʋɑː.ɦə.t̪ə/,स्वाहत,0
369483,120468,स्वाहेय,n,n-----m--a,,,,/s.ʋɑː.ɦeː.jə/,स्वाहेय,0
369484,120467,स्वाहि,n,n-----m--i,,,,/s.ʋɑː.ɦi/,स्वाहि,0
369485,,स्वाहुत,a,ap----a--a,,,,/s.ʋɑː.ɦu.t̪ə/,स्व्-आ॔हुत,0
369486,120471,स्वाह्वान,a,ap----a--a,,,,/s.ʋɑːɦ.ʋɑː.nə/,स्व्-आह्वान,0
369487,120469,स्वाह्य,a,ap----a--a,,,,/s.ʋɑːɦ.jə/,स्वाह्य॔,0
369488,121804,स्वाहा,n,n-----f--ā,,,,/s.ʋɑː.ɦɑː/,स्व्-आ॔हा,0
369489,121803,स्वाहा,r,rp--------,,,,/s.ʋɑː.ɦɑː/,स्व्-आ॔हा,0
369490,120462,स्वाहाभुज्,n,n-----m--c,,,,/s.ʋɑː.ɦɑː.bʱud͡ʑ/,स्व्-आ॔हा-भुज्,0
369491,120178,स्वाहाकरण,n,n-----n--a,,,,/s.ʋɑː.ɦɑː.kə.ɹə.ɳə/,स्व्-आ॔हा-करण,0
369492,121805,स्वाहाकार,n,n-----m--a,,,n-----f--ā=स्वाहाकारआ,/s.ʋɑː.ɦɑː.kɑː.ɹə/,स्व्-आ॔हा-कार॔,0
369493,,स्वाहाकारवषट्कार,n,n-----m--a,,,,/s.ʋɑː.ɦɑː.kɑː.ɹə.ʋə.ˈʂəʈ.kɑː.ɹə/,स्व्-आ॔हा-कार॔-वषट्-कार,0
369494,120179,स्वाहाकृत्,a,ap----a--c,,,,/s.ʋɑː.ɦɑː.kɹ̩t̪/,स्व्-आ॔हा-कृत्,0
369495,120180,स्वाहाकृत,a,ap----a--a,,,,/s.ʋɑː.ɦɑː.kɹ̩.t̪ə/,स्व्-आ॔हा-कृत,0
369496,121806,स्वाहाकृति,n,n-----f--i,,,,/s.ʋɑː.ɦɑː.kɹ̩.t̪i/,स्व्-आ॔हा-कृति,0
369497,121807,स्वाहाकृती,n,n-----f--ī,,,,/s.ʋɑː.ɦɑː.kɹ̩.t̪iː/,स्व्-आ॔हा-कृती,0
369498,120181,स्वाहापति,n,n-----m--i,,,,/s.ʋɑː.ɦɑː.pə.t̪i/,स्व्-आ॔हा-पति,0
369499,120461,स्वाहाप्रिय,n,n-----m--a,,,,/s.ʋɑː.ɦɑːp.ɹi.jə/,स्व्-आ॔हा-प्रिय,0
369500,,स्वाहार,n,n-----m--a,,,,/s.ʋɑː.ɦɑː.ɹə/,स्व्-आहार,0
369501,,स्वाहार,a,ap----a--a,,,,/s.ʋɑː.ɦɑː.ɹə/,स्व्-आहार,0
369502,120463,स्वाहार्ह,a,ap----a--a,,,,/s.ʋɑː.ɦɑːɹ.ɦə/,स्व्-आ॔हार्ह,0
369503,120466,स्वाहासुधाकर,n,n-----m--a,,,,/s.ʋɑː.ɦɑː.su.d̪ʰɑː.kə.ɹə/,स्व्-आ॔हा-सुधाकर,0
369504,,स्वाहावल्लभ,n,n-----m--a,,,,/s.ʋɑː.ɦɑː.ˈʋəl.lə.bʱə/,स्व्-आ॔हा-वल्लभ,0
369505,120464,स्वाहावन,n,n-----n--a,,,,/s.ʋɑː.ɦɑː.ʋə.nə/,स्व्-आ॔हा-वन,0
369506,121808,स्वाहाशन,n,n-----m--a,,,,/s.ʋɑː.ɦɑː.ɕə.nə/,स्व्-आ॔हाशन,0
369507,120088,स्वाजन्य,n,n-----n--a,,,,/s.ʋɑː.d͡ʑən.jə/,स्वाजन्य,0
369508,119432,स्वाज्ञा,n,n-----f--ā,,,,/s.ʋɑːd͡ʑ.ɲɑː/,स्वाज्ञा,0
369509,120089,स्वाजीव,a,ap----a--a,,,,/s.ʋɑː.d͡ʑiː.ʋə/,स्व्-आजीव,0
369510,,स्वाजीव्य,a,ap----a--a,,,,/s.ʋɑː.d͡ʑiːʋ.jə/,स्व्-आजीव्य,0
369511,,स्वाख्यात,a,ap----a--a,,,,/s.ʋɑːkʰ.jɑː.t̪ə/,स्वाख्यात,0
369512,,स्वाख्यात,a,ap----a--a,,,,/s.ʋɑːkʰ.jɑː.t̪ə/,स्व्-आख्यात,0
369513,,स्वाख्यातता,n,n-----f--ā,,,,/s.ʋɑːkʰ.jɑː.t̪ə.t̪ɑː/,स्वाख्यात-ता,0
369514,119429,स्वाख्याशतक,n,n-----n--a,,,,/s.ʋɑːkʰ.jɑː.ɕə.t̪ə.kə/,स्वाख्या-शतक,0
369515,120077,स्वाक्त,n,n-----n--a,,,,/s.ʋɑːk.t̪ə/,स्व्-आक्त,0
369516,,स्वाकार,a,ap----a--a,,,,/s.ʋɑː.kɑː.ɹə/,स्वाकार,0
369517,,स्वाकार,n,n-----m--a,,,,/s.ʋɑː.kɑː.ɹə/,स्वाकार,0
369518,,स्वाकार,a,ap----a--a,,,,/s.ʋɑː.kɑː.ɹə/,स्व्-आकार,0
369519,,स्वाकारकर,n,n-----m--a,,,,/s.ʋɑː.kɑː.ɹə.kə.ɹə/,स्वाकार-कर,0
369520,120076,स्वाकूति,n,n-----m--i,,,,/s.ʋɑː.kuː.t̪i/,स्व्-आकूति,0
369521,120075,स्वाकृति,a,ap----a--i,,,,/s.ʋɑː.kɹ̩.t̪i/,स्वाकृति,0
369522,120075,स्वाकृति,a,ap----a--i,,,,/s.ʋɑː.kɹ̩.t̪i/,स्व्-आकृति,0
369523,119427,स्वाक्षपाद,n,n-----m--a,,,,/s.ʋɑːk.ʂə.pɑː.d̪ə/,स्वाक्ष-पाद,0
369524,119428,स्वाक्षर,n,n-----m--a,,,,/s.ʋɑːk.ʂə.ɹə/,स्वाक्षर,0
369525,120160,स्वालक्षण,a,ap----a--a,,,,/s.ʋɑː.ˈlək.ʂə.ɳə/,स्व्-आलक्षण,0
369526,120162,स्वालक्षण्य,n,n-----n--a,,,,/s.ʋɑː.ˈlək.ˈʂəɳ.jə/,स्वालक्षण्य,0
369527,,स्वालक्ष्य,a,ap----a--a,,,,/s.ʋɑː.ˈlək.ʂjə/,स्वालक्ष्य,0
369528,121799,स्वाल्प,a,ap----a--a,,,,/s.ʋɑːl.pə/,स्व्-आल्प,0
369529,121800,स्वाल्प,n,n-----n--a,,,,/s.ʋɑːl.pə/,स्व्-आल्प,0
369530,120125,स्वामिभट्टारक,n,n-----m--a,,,,/s.ʋɑː.mi.ˈbʱəʈ.ʈɑː.ɹə.kə/,स्वामि-भट्टारक,0
369531,,स्वामिभाव,n,n-----m--a,,,,/s.ʋɑː.mi.bʱɑː.ʋə/,स्वामि-भाव,0
369532,120124,स्वामिदत्त,n,n-----m--a,,,,/s.ʋɑː.mi.ˈd̪ət̪.t̪ə/,स्वामि-दत्त,0
369533,120118,स्वामिगिरिमाहात्म्य,n,n-----n--a,,,,/s.ʋɑː.mi.gi.ɹi.mɑː.ɦɑːt̪.mjə/,स्वामि-गिरि-माहात्म्य,0
369534,,स्वामिगुण,n,n-----m--a,,,,/s.ʋɑː.mi.gu.ɳə/,स्वामि-गुण,0
369535,120121,स्वामिजनक,n,n-----m--a,,,,/s.ʋɑː.mi.d͡ʑə.nə.kə/,स्वामि-जनक,0
369536,120120,स्वामिजङ्घिन्,n,n-----m--n,,,,/s.ʋɑː.mi.d͡ʑəŋ.gʰin/,स्वामि-जङ्घिन्,0
369537,120134,स्वामिकराज,n,n-----m--a,,,,/s.ʋɑː.mi.kə.ɹɑː.d͡ʑə/,स्वामिक-राज,0
369538,120117,स्वामिकुमार,n,n-----m--a,,,,/s.ʋɑː.mi.ku.mɑː.ɹə/,स्वामि-कुमार,0
369539,121785,स्वामिकार्त्तिक,n,n-----m--a,,,,/s.ʋɑː.mi.kɑːɹt̪.t̪i.kə/,स्वामि-कार्त्तिक,0
369540,,स्वामिकार्त्तिकानुप्रेक्षा,n,n-----f--ā,,,,/s.ʋɑː.mi.kɑːɹt̪.t̪i.kɑː.ˈnup.ɹeːk.ʂɑː/,स्वामि-कार्त्तिकानुप्रेक्षा,0
369541,,स्वामिकार्य,n,n-----n--a,,,,/s.ʋɑː.mi.kɑːɹ.jə/,स्वामि-कार्य,0
369542,,स्वामिकार्यार्थिन्,a,ap----a--n,,,,/s.ʋɑː.mi.kɑːɹ.jɑːɹ.t̪ʰin/,स्वामि-कार्यार्थिन्,0
369543,,स्वामिमूल,a,ap----a--a,,,,/s.ʋɑː.mi.muː.lə/,स्वामि-मूल,0
369544,121784,स्वामिन्,n,n-----m--n,,,,/s.ʋɑː.min/,स्वामिन्,0
369545,120137,स्वामिन्यष्टक,n,n-----n--a,,,,/s.ʋɑː.min.ˈjəʂ.ʈə.kə/,स्वामिन्य्-अष्टक,0
369546,120135,स्वामिनी,n,n-----f--ī,,,,/s.ʋɑː.mi.niː/,स्वामिनी,0
369548,120136,स्वामिनीस्तोत्र,n,n-----n--a,,,,/s.ʋɑː.mi.niːs.t̪oːt̪.ɹə/,स्वामिनी-स्तोत्र,0
369549,,स्वामिप्रसाद,n,n-----m--a,,,,/s.ʋɑː.ˈmip.ɹə.sɑː.d̪ə/,स्वामि-प्रसाद,0
369550,,स्वामिप्रसादात्,r,rp--------,,,,/s.ʋɑː.ˈmip.ɹə.sɑː.d̪ɑːt̪/,स्वामि-प्रसादात्,0
369551,121787,स्वामिपाल,n,n-----m--a,,,,/s.ʋɑː.mi.pɑː.lə/,स्वामि-पाल,0
369552,,स्वामिपालविवाद,n,n-----m--a,,,,/s.ʋɑː.mi.pɑː.lə.ʋi.ʋɑː.d̪ə/,स्वामि-पाल-विवाद,0
369553,,स्वामिपालविवादतरंग,n,n-----m--a,,,,/s.ʋɑː.mi.pɑː.lə.ʋi.ʋɑː.d̪ə.t̪ə.ɹəŋ.gə/,स्वामि-पाल-विवाद-तरंग,0
369554,,स्वामिसद्भाव,n,n-----m--a,,,,/s.ʋɑː.mi.ˈsəd̪.bʱɑː.ʋə/,स्वामि-सद्-भाव,0
369555,,स्वामिसेवा,n,n-----f--ā,,,,/s.ʋɑː.mi.seː.ʋɑː/,स्वामि-सेवा,0
369556,,स्वामित्व,n,n-----n--a,,,,/s.ʋɑː.ˈmit̪.ʋə/,स्वामि-त्व,0
369557,,स्वामिता,n,n-----f--ā,,,,/s.ʋɑː.mi.t̪ɑː/,स्वामि-ता,0
369558,120128,स्वामिवशीकरस्तोत्र,n,n-----n--a,,,,/s.ʋɑː.mi.ʋə.ɕiː.kə.ˈɹəs.t̪oːt̪.ɹə/,स्वामि-वशी-कर-स्तोत्र,0
369559,,स्वामिवात्सल्य,n,n-----n--a,,,,/s.ʋɑː.mi.ʋɑːt̪.ˈsəl.jə/,स्वामि-वात्सल्य,0
369560,120131,स्वामिशैलमाहात्म्य,n,n-----n--a,,,,/s.ʋɑː.mi.ɕɑːi.lə.mɑː.ɦɑːt̪.mjə/,स्वामि-शैल-माहात्म्य,0
369561,120130,स्वामिशास्त्रिन्,n,n-----m--n,,,,/s.ʋɑː.mi.ɕɑːs.t̪ɹin/,स्वामि-शास्त्रिन्,0
369562,120143,स्वाम्नाय,a,ap----a--a,,,,/s.ʋɑːm.nɑː.jə/,स्व्-आम्नाय,0
369563,120141,स्वाम्य,n,n-----n--a,,,,/s.ʋɑːm.jə/,स्वाम्य,0
369564,120142,स्वाम्यकारण,n,n-----n--a,,,,/s.ʋɑːm.jə.kɑː.ɹə.ɳə/,स्वाम्य-कारण,0
369565,120138,स्वाम्यर्थम्,r,rp--------,,,,/s.ʋɑːm.ˈjəɹ.t̪ʰəm/,स्वाम्य्-अर्थम्,0
369566,120139,स्वाम्यसम्मत,a,ap----a--a,,,,/s.ʋɑːm.jə.səm.mə.t̪ə/,स्वाम्य्-असम्मत,0
369567,120140,स्वाम्युपकारक,n,n-----m--a,,,,/s.ʋɑːm.ju.pə.kɑː.ɹə.kə/,स्वाम्य्-उपकारक,0
369569,121673,स्वान,n,n-----m--a,,,,/s.ʋɑː.nə/,स्वान॔,0
369572,120105,स्वानम,a,ap----a--a,,ap----f--ā=>ा,,/s.ʋɑː.nə.mə/,स्व्-आनम,0
369573,218923,स्वानन्द,n,n-----m--a,,,,/s.ʋɑː.nən.d̪ə/,स्वानन्द,0
369574,,स्वानन्दचन्द्रिका,n,n-----f--ā,,,,/s.ʋɑː.nən.d̪ə.t͡ɕən.d̪ɹi.kɑː/,स्वानन्द-चन्द्रिका,0
369575,,स्वानन्दपूर्ण,n,n-----m--a,,,,/s.ʋɑː.nən.d̪ə.puːɹ.ɳə/,स्वानन्द-पूर्ण,0
369576,,स्वानि,a,ap----a--i,,,,/s.ʋɑː.ni/,स्वानि,0
369577,119677,स्वानिन्,a,ap----a--n,,,,/s.ʋɑː.nin/,स्वानि॔न्,0
369578,120246,स्वान्त,n,n-----m--a,,,,/s.ʋɑːn.t̪ə/,स्वान्त,0
369579,120247,स्वान्त,n,n-----n--a,,,n-----f--ā=स्वान्तआ,/s.ʋɑːn.t̪ə/,स्वान्त,0
369581,,स्वान्तज,n,n-----m--a,,,,/s.ʋɑːn.t̪ə.d͡ʑə/,स्वान्त-ज,0
369582,,स्वान्तस्थ,a,ap----a--a,,,,/s.ʋɑːn.ˈt̪əs.t̪ʰə/,स्वान्त-स्थ,0
369583,,स्वान्तवत्,a,ap----a--c,,,,/s.ʋɑːn.t̪ə.ʋət̪/,स्वान्त-वत्,0
369584,,स्वानुभव,n,n-----m--a,,,,/s.ʋɑː.nu.bʱə.ʋə/,स्वानुभव,0
369585,,स्वानुभवादर्श,n,n-----m--a,,,,/s.ʋɑː.nu.bʱə.ʋɑː.d̪ə.ɹɕə/,स्वानुभवादर्श,0
369586,119441,स्वानुभाव,n,n-----m--a,,,,/s.ʋɑː.nu.bʱɑː.ʋə/,स्वानुभाव,0
369587,120245,स्वानुभूति,n,n-----f--i,,,,/s.ʋɑː.nu.bʱuː.t̪i/,स्वानुभूति,0
369588,,स्वानुभूतिप्रकाश,n,n-----m--a,,,,/s.ʋɑː.nu.bʱuː.ˈt̪ip.ɹə.kɑː.ɕə/,स्वानुभूति-प्रकाश,0
369589,,स्वानुभूतिप्रकाशविवृति,n,n-----f--i,,,,/s.ʋɑː.nu.bʱuː.ˈt̪ip.ɹə.kɑː.ɕə.ʋi.ʋɹ̩.t̪i/,स्वानुभूति-प्रकाश-विवृति,0
369590,,स्वानुभूतिवाक्य,n,n-----n--a,,,,/s.ʋɑː.nu.bʱuː.t̪i.ʋɑːk.jə/,स्वानुभूति-वाक्य,0
369591,,स्वानुभूत्यभिधनाटक,n,n-----n--a,,,,/s.ʋɑː.nu.bʱuːt̪.jə.bʱi.d̪ʰə.nɑː.ʈə.kə/,स्वानुभूत्य्-अभिध-नाटक,0
369592,,स्वानुभूत्येकसार,a,ap----a--a,,,,/s.ʋɑː.nu.bʱuːt̪.jeː.kə.sɑː.ɹə/,स्वानुभूत्य्-एक-सार,0
369593,119442,स्वानुरूप,a,ap----a--a,,,,/s.ʋɑː.nu.ɹuː.pə/,स्वानुरूप,0
369594,,स्वानुसार,n,n-----m--a,,,,/s.ʋɑː.nu.sɑː.ɹə/,स्वानुसार,0
369595,120248,स्वान्यदीयत्व,n,n-----n--a,,,,/s.ʋɑːn.jə.d̪iː.ˈjət̪.ʋə/,स्वान्यदीय-त्व,0
369596,,स्वान्यदीयत्वसंदेह,n,n-----m--a,,,,/s.ʋɑːn.jə.d̪iː.ˈjət̪.ʋə.sən.d̪eː.ɦə/,स्वान्यदीय-त्व-संदेह,0
369597,119744,स्वाप,n,n-----m--a,,,,/s.ʋɑː.pə/,स्वाप,0
369598,119746,स्वापक,a,ap----a--a,,,,/s.ʋɑː.pə.kə/,स्वापक,0
369600,121688,स्वापन,a,ap----a--a,,,,/s.ʋɑː.pə.nə/,स्वापन,0
369601,121689,स्वापन,n,n-----n--a,,,,/s.ʋɑː.pə.nə/,स्वापन,0
369602,,स्वापराध,n,n-----m--a,,,,/s.ʋɑː.pə.ɹɑː.d̪ʰə/,स्वापराध,0
